user_id,id,name,artist,album,release_date,popularity,duration_ms,explicit,uri,album_genre,artist_genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,track_href,analysis_url,time_signature
derek,02shCNmb6IvgB5jLqKjtkK,Nevada,Vicetone,Nevada,2016-06-24,70,208562,False,spotify:track:02shCNmb6IvgB5jLqKjtkK,Unknown,edm,0.605,0.783,3.0,-4.271,1.0,0.0324,0.299,0.000175,0.133,0.105,124.015,audio_features,https://api.spotify.com/v1/tracks/02shCNmb6IvgB5jLqKjtkK,https://api.spotify.com/v1/audio-analysis/02shCNmb6IvgB5jLqKjtkK,4.0
derek,7E4IssrzkldvqRfSG2ox57,What Are You Waiting For - VIP,Stonebank,What Are You Waiting For (VIP),2020-09-11,37,299130,False,spotify:track:7E4IssrzkldvqRfSG2ox57,Unknown,brostep,0.507,0.973,6.0,-2.472,0.0,0.0365,0.0262,0.714,0.132,0.209,138.056,audio_features,https://api.spotify.com/v1/tracks/7E4IssrzkldvqRfSG2ox57,https://api.spotify.com/v1/audio-analysis/7E4IssrzkldvqRfSG2ox57,4.0
derek,2s85wLUTPgqepCrooMhK7o,Silhouette,Bad Computer,Rocket League x Monstercat Vol. 3,2018-05-25,0,264375,False,spotify:track:2s85wLUTPgqepCrooMhK7o,Unknown,complextro,0.768,0.91,6.0,-5.841,0.0,0.186,0.41,0.0336,0.593,0.148,127.958,audio_features,https://api.spotify.com/v1/tracks/2s85wLUTPgqepCrooMhK7o,https://api.spotify.com/v1/audio-analysis/2s85wLUTPgqepCrooMhK7o,3.0
derek,5uGCoNepb3NfYHzdVDXQtC,Potions,SLANDER,Potions,2019-05-31,55,215200,False,spotify:track:5uGCoNepb3NfYHzdVDXQtC,Unknown,dubstep,0.545,0.323,3.0,-12.006,1.0,0.0391,0.102,2.74e-06,0.107,0.193,149.941,audio_features,https://api.spotify.com/v1/tracks/5uGCoNepb3NfYHzdVDXQtC,https://api.spotify.com/v1/audio-analysis/5uGCoNepb3NfYHzdVDXQtC,4.0
derek,5o4MRKC6Y8idOvgEvpsx5P,Drop It,Aero Chord,Rocket League x Monstercat Vol. 1,2017-07-05,51,187826,False,spotify:track:5o4MRKC6Y8idOvgEvpsx5P,Unknown,bass trap,0.676,0.987,9.0,-2.907,0.0,0.0771,0.201,0.681,0.113,0.556,137.994,audio_features,https://api.spotify.com/v1/tracks/5o4MRKC6Y8idOvgEvpsx5P,https://api.spotify.com/v1/audio-analysis/5o4MRKC6Y8idOvgEvpsx5P,4.0
derek,13LbTKrOAJUoqWwJHdeCja,Solar Eclipses,Hollywood Principle,Solar Eclipses,2017-11-12,49,209159,False,spotify:track:13LbTKrOAJUoqWwJHdeCja,Unknown,Unknown,0.65,0.698,8.0,-5.663,1.0,0.0607,0.0195,1.89e-06,0.261,0.222,130.038,audio_features,https://api.spotify.com/v1/tracks/13LbTKrOAJUoqWwJHdeCja,https://api.spotify.com/v1/audio-analysis/13LbTKrOAJUoqWwJHdeCja,4.0
derek,6HCmuewveUWxu30HSCsWk5,Stronger,Stonebank,Stronger,2015-01-05,53,320394,False,spotify:track:6HCmuewveUWxu30HSCsWk5,Unknown,brostep,0.511,0.885,5.0,-3.259,0.0,0.287,0.00479,0.0645,0.115,0.343,170.002,audio_features,https://api.spotify.com/v1/tracks/6HCmuewveUWxu30HSCsWk5,https://api.spotify.com/v1/audio-analysis/6HCmuewveUWxu30HSCsWk5,4.0
derek,4qDHt2ClApBBzDAvhNGWFd,Crab Rave,Noisestorm,Crab Rave,2018-04-01,66,161280,False,spotify:track:4qDHt2ClApBBzDAvhNGWFd,Unknown,chillstep,0.768,0.933,2.0,-2.95,0.0,0.0385,0.206,0.915,0.0833,0.245,124.996,audio_features,https://api.spotify.com/v1/tracks/4qDHt2ClApBBzDAvhNGWFd,https://api.spotify.com/v1/audio-analysis/4qDHt2ClApBBzDAvhNGWFd,4.0
derek,0fE5HV2Cjy7NAw2B23D7TA,Breathing Underwater (Ether Remix),Hollywood Principle,"Rocket League: Official Game Soundtrack, Vol. 2",2016-07-07,0,277750,False,spotify:track:0fE5HV2Cjy7NAw2B23D7TA,Unknown,Unknown,0.463,0.508,6.0,-9.249,0.0,0.0468,0.087,9.13e-05,0.482,0.282,139.913,audio_features,https://api.spotify.com/v1/tracks/0fE5HV2Cjy7NAw2B23D7TA,https://api.spotify.com/v1/audio-analysis/0fE5HV2Cjy7NAw2B23D7TA,4.0
derek,2RAr02dmIjrKCvQGwo90eA,Zelda's Medley,Mikel,Zelda's Medley,2021-11-12,36,237653,False,spotify:track:2RAr02dmIjrKCvQGwo90eA,Unknown,lo-fi vgm,0.754,0.294,9.0,-12.558,0.0,0.174,0.639,0.907,0.109,0.379,81.999,audio_features,https://api.spotify.com/v1/tracks/2RAr02dmIjrKCvQGwo90eA,https://api.spotify.com/v1/audio-analysis/2RAr02dmIjrKCvQGwo90eA,4.0
